"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1748","test_back","modules.function.KamarBiasa","Fri Jul 04 14:48:10 CST 2025","passed","Fri Jul 04 14:48:12 CST 2025","TestKamarEnter","test_kamar","",""
"","1721","test_back","modules.function.QiuQIu","Fri Jul 04 14:48:22 CST 2025","passed","Fri Jul 04 14:48:24 CST 2025","TestQiuqiuEnter","test_qiuqiuEnter","",""
"","2042","test_enter","modules.function.QiuQIu","Fri Jul 04 14:48:19 CST 2025","passed","Fri Jul 04 14:48:21 CST 2025","TestQiuqiuEnter","test_qiuqiuEnter","",""
"","1735","test_back","modules.function.Remi","Fri Jul 04 14:48:16 CST 2025","passed","Fri Jul 04 14:48:18 CST 2025","TestRemiEnter","test_remiEnter","",""
"","20643","test_appstart","modules.function.login","Fri Jul 04 14:47:07 CST 2025","passed","Fri Jul 04 14:47:27 CST 2025","TestLogin","test_login","",""
"","29689","test_closeWindows","modules.function.login","Fri Jul 04 14:47:28 CST 2025","passed","Fri Jul 04 14:47:58 CST 2025","TestLogin","test_login","",""
"","1198","test_isInMain","modules.function.login","Fri Jul 04 14:47:59 CST 2025","passed","Fri Jul 04 14:48:00 CST 2025","TestLogin","test_login","",""
"","2099","test_enter","modules.function.Remi","Fri Jul 04 14:48:13 CST 2025","passed","Fri Jul 04 14:48:15 CST 2025","TestRemiEnter","test_remiEnter","",""
"","0","test_connect","modules.function.login","Fri Jul 04 14:47:06 CST 2025","passed","Fri Jul 04 14:47:06 CST 2025","TestLogin","test_login","",""
"","4155","test_enter","modules.function.KamarBiasa","Fri Jul 04 14:48:05 CST 2025","passed","Fri Jul 04 14:48:09 CST 2025","TestKamarEnter","test_kamar","",""
